R_sup_mean,positive_probability,n
0.012469182699530354,0.06647727272727273,7040
0.043773312714320396,0.1721590909090909,7040
0.07065981397902055,0.05113636363636364,7040
0.10826792879176633,0.11761363636363636,7040
0.16402473797952533,0.0664867168631908,7039
0.25957494817862875,0.08181818181818182,7040
0.5475851869727706,0.1630681818181818,7040
0.8323654990491722,0.25113636363636366,7040
