M,source_type,M_cert_mean,M_cert_std,M_cert_min,M_cert_max,r_cert_pos
4,dirichlet,-0.0841885136454806,0.028819533386751247,-0.12578174117054097,-0.05923744155242727,0.0
4,near_uniform,-0.06503409641015362,0.12114944971517674,-0.1666714048599493,0.07883494508370026,0.375
4,strong_skew,-0.07112186995513753,0.0044774521655445865,-0.07901328569890465,-0.06521593964455263,0.0
4,zipf,-0.10488588436650823,0.026833798682005104,-0.15087688168923985,-0.07489126388018025,0.0
8,dirichlet,,,,,0.0
8,near_uniform,,,,,0.0
8,strong_skew,,,,,0.0
8,zipf,,,,,0.0
