code_name,n,k,d,p,overhead_ratio,P_corr,q_L,P_base,P_group,P_fallback,P_full_bound,threshold,advantage_margin,advantageous
no_qec,1,1,1,0.0,0.0,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.6947920446914665,0.2994927386270757,True
no_qec,1,1,1,0.0,0.0125,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7034769452501098,0.29080783806843236,True
no_qec,1,1,1,0.0,0.025,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7121618458087531,0.2821229375097891,True
no_qec,1,1,1,0.0,0.037500000000000006,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7208467463673965,0.27343803695114566,True
no_qec,1,1,1,0.0,0.05,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7295316469260399,0.2647531363925023,True
no_qec,1,1,1,0.0,0.0625,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7382165474846831,0.25606823583385907,True
no_qec,1,1,1,0.0,0.07500000000000001,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7469014480433265,0.24738333527521572,True
no_qec,1,1,1,0.0,0.08750000000000001,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7555863486019697,0.23869843471657248,True
no_qec,1,1,1,0.0,0.1,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7642712491606132,0.23001353415792902,True
no_qec,1,1,1,0.0,0.1125,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7729561497192565,0.22132863359928567,True
no_qec,1,1,1,0.0,0.125,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7816410502778998,0.21264373304064244,True
no_qec,1,1,1,0.0,0.1375,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7903259508365431,0.20395883248199909,True
no_qec,1,1,1,0.0,0.15000000000000002,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.7990108513951864,0.19527393192335585,True
no_qec,1,1,1,0.0,0.1625,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.8076957519538298,0.1865890313647124,True
no_qec,1,1,1,0.0,0.17500000000000002,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.8163806525124732,0.17790413080606904,True
no_qec,1,1,1,0.0,0.1875,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.8250655530711165,0.1692192302474257,True
no_qec,1,1,1,0.0,0.2,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.8337504536297597,0.16053432968878245,True
no_qec,1,1,1,0.0,0.21250000000000002,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.8424353541884031,0.1518494291301391,True
no_qec,1,1,1,0.0,0.225,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.8511202547470466,0.14316452857149564,True
no_qec,1,1,1,0.0,0.23750000000000002,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.8598051553056898,0.1344796280128524,True
no_qec,1,1,1,0.0,0.25,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.8684900558643331,0.12579472745420905,True
no_qec,1,1,1,0.0,0.2625,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.8771749564229764,0.11710982689556582,True
no_qec,1,1,1,0.0,0.275,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.8858598569816197,0.10842492633692247,True
no_qec,1,1,1,0.0,0.28750000000000003,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.8945447575402632,0.099740025778279,True
no_qec,1,1,1,0.0,0.30000000000000004,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.9032296580989064,0.09105512521963577,True
no_qec,1,1,1,0.0,0.3125,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.9119145586575498,0.08237022466099242,True
no_qec,1,1,1,0.0,0.325,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.920599459216193,0.07368532410234918,True
no_qec,1,1,1,0.0,0.3375,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.9292843597748364,0.06500042354370583,True
no_qec,1,1,1,0.0,0.35000000000000003,1.0,0.0,0.6947920446914665,0.9942847833185422,0.5,0.9942847833185422,0.9379692603334798,0.05631552298506237,True
