analysis,predictor,positive_count,nonpositive_count,positive_mean,nonpositive_mean,positive_min,positive_max,nonpositive_min,nonpositive_max,positive_fraction
benchmark_qec_margin,G_comp,0,159,,0.9354414764886616,,,0.0,4.401587301587302,0.0
benchmark_qec_margin,g_rel,0,159,,0.2090417883906244,,,0.0,0.7335978835978837,0.0
benchmark_qec_margin,r_sep,0,159,,0.6629811070539685,,,0.0,1.0,0.0
benchmark_qec_margin,r_overlap,0,159,,291.4414557371002,,,0.0,44735.91391194786,0.0
benchmark_qec_margin,Delta_P_group,0,159,,0.006819136188704651,,,-4.440892098500626e-16,0.031656960606095574,0.0
benchmark_qec_margin,r_cost,0,159,,2.375786163522012,,,1.6666666666666667,4.0,0.0
benchmark_qec_margin,r_cost_w,0,159,,1.8575482186377241,,,0.8941096000938887,3.235286028602861,0.0
benchmark_no_qec_margin,G_comp,21,138,3.3219849638587213,0.5722718153671309,2.213333333333334,4.401587301587302,0.0,2.905555555555555,0.1320754716981132
benchmark_no_qec_margin,g_rel,21,138,0.6420435769257625,0.14315021187440774,0.5533333333333335,0.7335978835978837,0.0,0.5638028112173161,0.1320754716981132
benchmark_no_qec_margin,r_sep,21,138,0.9552655115546845,0.6185030454995118,0.7638303433255373,1.0,0.0,1.0,0.1320754716981132
benchmark_no_qec_margin,r_overlap,21,138,3.9421987045978777,335.1913426768288,0.0,66.22380211294752,0.0,44735.91391194786,0.1320754716981132
benchmark_no_qec_margin,Delta_P_group,21,138,0.0015322170262249638,0.007623667365603734,0.0005400615742712223,0.004148956711488405,-4.440892098500626e-16,0.031656960606095574,0.1320754716981132
benchmark_no_qec_margin,r_cost,21,138,1.9285714285714282,2.443840579710145,1.6666666666666667,2.25,1.6666666666666667,4.0,0.1320754716981132
benchmark_no_qec_margin,r_cost_w,21,138,1.174344894022893,1.9615139419486767,0.8941096000938887,1.4955601092896174,1.0669413637297191,3.235286028602861,0.1320754716981132
exact_certificate,M_cert,3,37,0.07751933828942907,-0.09928345958969167,0.0748881247008868,0.0788349450837002,-0.1666714048599493,-0.0592374415524272,0.075
