angle_separation_deg,epsilon_max_within_group_squared_overlap,overlap_group_0_squared,overlap_group_1_squared,P_ideal,P_full_bound_qL_0_01
80.0,0.03015368960704582,0.030153689607045793,0.03015368960704582,0.9927227025426496,0.9877954755172231
79.0126582278481,0.036325356981183714,0.03632535698118367,0.036325356981183714,0.9912199356392395,0.9863077362828471
78.0253164556962,0.043047730733730395,0.04304773073373037,0.043047730733730395,0.9895778244868794,0.9846820462420107
77.0379746835443,0.05031282670130905,0.050312826701309016,0.05031282670130905,0.9877969220694811,0.9829189528487863
76.05063291139241,0.05811201612936203,0.058112016129361975,0.05811201612936203,0.9858778290987074,0.9810190508077203
75.0632911392405,0.06643603592052374,0.06643603592052369,0.06643603592052374,0.9838211940725159,0.9789829821317907
74.07594936708861,0.07527499963639991,0.07527499963639984,0.07527499963639991,0.9816277133449978,0.9768114362115476
73.08860759493672,0.08461840923969195,0.08461840923969195,0.08461840923969192,0.9792981312092277,0.9745051498971354
72.10126582278481,0.09445516756271578,0.09445516756271578,0.09445516756271573,0.9768332399950599,0.9720649075951092
71.11392405063292,0.10477359148750667,0.10477359148750667,0.10477359148750663,0.9742338801840187,0.9694915413821785
70.12658227848101,0.11556142582186081,0.11556142582186081,0.11556142582186077,0.9715009405436988,0.9667859311382618
69.13924050632912,0.12680585785482498,0.12680585785482498,0.12680585785482482,0.9686353582843572,0.9639490047015137
68.15189873417722,0.13849353257435496,0.13849353257435496,0.1384935325743549,0.965638119240695,0.960981738048288
67.16455696202532,0.15061056852906332,0.15061056852906332,0.15061056852906332,0.9625102580821691,0.9578851555013473
66.17721518987342,0.163142574315218,0.16314257431521784,0.163142574315218,0.9592528585555619,0.9546603299700062
65.18987341772151,0.17607466566941543,0.17607466566941543,0.17607466566941535,0.9558670537639644,0.9513083832263247
64.20253164556962,0.18939148314661683,0.18939148314661672,0.18939148314661683,0.9523540264868147,0.9478304862219465
63.21518987341772,0.20307721036256443,0.20307721036256438,0.20307721036256443,0.9487150095461725,0.9442278594507106
62.22784810126583,0.21711559277889925,0.21711559277889914,0.21711559277889925,0.9449512862250273,0.940501773362777
61.24050632911393,0.23148995700867706,0.23148995700867706,0.23148995700867706,0.9410641907441213,0.9366535488366801
60.25316455696203,0.2461832306193508,0.24618323061935068,0.2461832306193508,0.937055108804549,0.9326845577165035
59.265822784810126,0.2611779624096975,0.2611779624096974,0.2611779624096975,0.9329254782042822,0.9285962234222392
58.27848101265823,0.2764563431366116,0.2764563431366115,0.2764563431366116,0.9286767895377585,0.9243900216423808
57.29113924050633,0.2920002266671425,0.29200022666714226,0.2920002266671425,0.9243105869888235,0.9200674811189352
56.30379746835443,0.3077911515306566,0.3077911515306566,0.3077911515306564,0.9198284692285947,0.9156301845363088
55.31645569620253,0.3238103628455274,0.3238103628455273,0.3238103628455274,0.915232090431306,0.911079769526993
54.32911392405064,0.34003883459430634,0.34003883459430634,0.3400388345943062,0.9105231614228667,0.9064179298086381
53.34177215189874,0.3564572922209266,0.3564572922209266,0.3564572922209265,0.9057034509788063,0.9016464164690183
52.35443037974684,0.3730462355230917,0.3730462355230917,0.3730462355230914,0.900774787290489,0.8967670394175842
51.36708860759494,0.38978596181266617,0.38978596181266617,0.389785961812666,0.8957390596210226,0.8917816690248124
50.37974683544304,0.40665658931655946,0.40665658931655946,0.40665658931655935,0.8905982201752178,0.8866922379734656
49.39240506329114,0.42363808079030696,0.42363808079030696,0.4236380807903068,0.8853542862113282,0.8815007433492149
48.40506329113924,0.4407102673163058,0.4407102673163058,0.4407102673163058,0.8800093424262027,0.8762092490019406
47.41772151898734,0.45785287225843907,0.45785287225843907,0.45785287225843907,0.8745655436500005,0.8708198882135005
46.43037974683544,0.47504553534463606,0.47504553534463606,0.47504553534463606,0.8690251178918544,0.8653348667129358
45.44303797468355,0.4922678368487679,0.4922678368487679,0.4922678368487679,0.8633903697839588,0.8597564660861192
44.45569620253165,0.5094993218431558,0.5094993218431558,0.5094993218431558,0.857663684478648,0.8540870476338616
43.46835443037975,0.5267195244928905,0.5267195244928903,0.5267195244928905,0.8518475320613006,0.8483290567406876
42.48101265822785,0.5439079923631028,0.5439079923631028,0.5439079923631028,0.8459444725515815,0.8424850278260656
41.493670886075954,0.5610443107103218,0.5610443107103216,0.5610443107103218,0.8399571615768529,0.8365575899610843
40.50632911392405,0.5781081267290659,0.5781081267290656,0.5781081267290659,0.8338883568148958,0.8305494732467468
39.51898734177215,0.5950791737248693,0.595079173724869,0.5950791737248693,0.827740925318706,0.8244635160655189
38.53164556962025,0.6119372951850354,0.6119372951850354,0.6119372951850353,0.8215178518545664,0.8183026733360208
37.54430379746836,0.6286624687185286,0.6286624687185286,0.6286624687185285,0.8152222484063457,0.8120700259222823
36.55696202531646,0.6452348298365665,0.6452348298365663,0.6452348298365665,0.8088573650247016,0.8057687913744545
35.56962025316456,0.6616346955456743,0.661634695545674,0.6616346955456743,0.8024266022303508,0.7994023362080473
34.58227848101266,0.6778425877251757,0.6778425877251757,0.6778425877251757,0.7959335252167494,0.7929741899645819
33.59493670886076,0.6938392562613586,0.6938392562613586,0.6938392562613586,0.7893818801405255,0.7864880613391201
32.607594936708864,0.7096057019108333,0.7096057019108333,0.7096057019108333,0.7827756128391994,0.7799478567108075
31.620253164556964,0.7251231988659355,0.7251231988659355,0.725123198865935,0.7761188903767273,0.7733577014729601
30.632911392405063,0.7403733169953677,0.7403733169953677,0.7403733169953677,0.7694161258901597,0.7667219646312582
29.645569620253166,0.755337943733667,0.7553379437336666,0.755337943733667,0.7626720072975526,0.7600452872245771
28.658227848101266,0.7699993055934979,0.7699993055934979,0.7699993055934979,0.7558915305309102,0.753332615225601
27.67088607594937,0.784339989275225,0.7843399892752245,0.784339989275225,0.7490800380816047,0.7465892377007888
26.68354430379747,0.7983429623486875,0.7983429623486875,0.7983429623486875,0.7422432637930723,0.7398208311551415
25.69620253164557,0.8119915934826192,0.8119915934826192,0.811991593482619,0.7353873850107955,0.7330335111606876
24.70886075949367,0.8252696721976773,0.8252696721976773,0.8252696721976771,0.7285190834071996,0.7262338925731275
23.721518987341774,0.8381614281196322,0.8381614281196322,0.8381614281196322,0.721645616043759,0.7194291598833213
22.734177215189874,0.8506515497098394,0.8506515497098394,0.8506515497098394,0.7147748985187646,0.712627149533577
21.746835443037977,0.8627252024507541,0.8627252024507539,0.8627252024507541,0.7079156023799538,0.7058364463561542
20.759493670886076,0.8743680464648883,0.8743680464648883,0.8743680464648883,0.7010772693570795,0.6990664966635086
19.77215189873418,0.8855662535462835,0.8855662535462835,0.8855662535462835,0.694270445385553,0.6923277409316975
18.78481012658228,0.8963065235842719,0.8963065235842719,0.8963065235842717,0.6875068378338676,0.6856317694555288
17.79746835443038,0.9065761003600145,0.9065761003600145,0.9065761003600145,0.6807994997826807,0.6789915047848539
16.810126582278482,0.9163627866970672,0.9163627866970672,0.9163627866970672,0.6741630455709932,0.6724214151152832
