analysis,total_instances,positive_M_res_count,positive_M_res_fraction,M_res_positive_mean,M_res_positive_std,M_res_positive_min,M_res_positive_max,G_comp_positive_mean,g_rel_positive_mean,r_sep_positive_mean,r_overlap_positive_mean,R_sup_positive_mean,Delta_P_group_positive_mean,r_cost_positive_mean,r_cost_w_positive_mean,M_res_nonpositive_mean,M_res_nonpositive_std,M_res_nonpositive_min,M_res_nonpositive_max,G_comp_nonpositive_mean,g_rel_nonpositive_mean,r_sep_nonpositive_mean,r_overlap_nonpositive_mean,R_sup_nonpositive_mean,Delta_P_group_nonpositive_mean,r_cost_nonpositive_mean,r_cost_w_nonpositive_mean,positive_M_res_w_count,positive_M_res_w_fraction,positive_exact_M_cert_count,positive_exact_M_cert_fraction
all_qec_inclusive,56160,6828.0,0.12158119658119658,0.20455465602761014,0.13936677386086685,0.009636827815817428,0.5493714848126281,2.6671064272335063,0.5952840020241263,0.8269181260638607,2.3671458373433087,0.3751054580238101,0.005075642722487224,0.3945518453427065,-0.37545613829638097,-0.7180003245498873,0.5254402728583246,-2.5,-0.0017130343639459866,0.8435963248004387,0.24003316567967317,0.7960787444724753,5593807.873150369,0.23867818967196047,0.020066832643265503,0.9984188761858429,0.24691835858589237,,,0,0.0
weighted,56160,,,-0.14166387817073106,0.3676853838865051,-1.6562973378542725,0.5493714848126281,2.119883717414589,0.5191293517517281,0.8407110713521199,8266807.501968067,0.36330789877043185,0.00789841270063575,0.670900951794029,-0.23199867621722395,-0.8521918279436884,0.5169136652486772,-2.5,-0.07540975136129224,0.5055855002918869,0.15801974917740738,0.77812984097557,3134062.104306683,0.1979219667309715,0.02373516093436375,1.0598619893879924,0.3852714832308477,19472.0,0.34672364672364675,0,0.0
no_qec_subset,18720,4812.0,0.257051282051282,0.2253990915732451,0.14814851928741699,0.009636827815817428,0.5493714848126281,2.522094489054288,0.5771043612958078,0.8339273905414466,2.533952553385841,0.3732254657157213,0.005873863900528203,0.35635910224438905,-0.3720747695926731,-0.3487391149161598,0.23043342344781242,-1.0,-0.0017130343639459866,0.5612678682824734,0.18154627397814424,0.788030336909785,6613788.457026814,0.21445234630456278,0.022524167797878716,0.5654012079378774,0.1215132951008798,,,0,0.0
