group_id,symbols,group_size,group_probability,conditional_priors,method,P_opt,weighted_contribution
0,"0,1",2,0.7,0.5714285714;0.4285714286,helstrom,0.9925600704009376,0.6947920492806563
1,"2,3",2,0.30000000000000004,0.6666666667;0.3333333333,helstrom,0.9983091134596195,0.2994927340378859
