construction,delta_deg,P_base_opt,P_group,gain,epsilon_global,epsilon_in,overlap_ratio,P_fallback
paper_four_symbol,,0.6947920446914665,0.9942847833185422,0.2994927386270757,0.9924038765061041,0.03015368960704587,32.9115239109649,0.5
controlled_overlap_sweep,10.0,0.6200349996173407,0.8999723171346774,0.27993731751733675,0.9951340343707853,0.413175911166535,2.4084996425885192,0.5
controlled_overlap_sweep,12.0,0.6275163460516365,0.9098038961285311,0.28228755007689454,0.9951340343707853,0.37903905220016615,2.6254129451686854,0.5
controlled_overlap_sweep,14.0,0.6346770451370083,0.919183286115043,0.2845062409780347,0.9951340343707853,0.3454915028125263,2.880343007772246,0.5
controlled_overlap_sweep,16.0,0.6415071115696332,0.928096329750739,0.2865892181811057,0.9951340343707853,0.3126967032920442,3.1824257304093684,0.5
controlled_overlap_sweep,18.0,0.6479970963099979,0.9365297848127591,0.28853268850276115,0.9951340343707853,0.28081442660546135,3.543742557674676,0.5
controlled_overlap_sweep,20.0,0.6541381275885947,0.9444712943811946,0.2903331667925999,0.9951340343707853,0.25,3.980536137483141,0.5
controlled_overlap_sweep,22.0,0.6599218850523954,0.9519093638817256,0.2919874788293303,0.9951340343707855,0.22040354826462655,4.515054508904649,0.5
controlled_overlap_sweep,24.0,0.665340592215422,0.9588333435312106,0.29349275131578867,0.9951340343707853,0.19216926233717094,5.178424594380609,0.5
controlled_overlap_sweep,26.0,0.6703870102953166,0.9652334150439296,0.294846404748613,0.9951340343707853,0.165434696820571,6.015267978821268,0.5
controlled_overlap_sweep,28.0,0.6750544367589275,0.971100581697494,0.2960461449385665,0.9951340343707853,0.1403300998306745,7.091379793583393,0.5
controlled_overlap_sweep,30.0,0.6793367038776541,0.9764266610440628,0.29708995716640874,0.9951340343707853,0.11697777844051105,8.507034820094997,0.5
controlled_overlap_sweep,32.0,0.6832281755365621,0.981204279698277,0.2979761041617148,0.9951340343707853,0.09549150281252634,10.421178901378083,0.5
controlled_overlap_sweep,34.0,0.6867237483604214,0.9854268697483368,0.29870312138791544,0.9951340343707853,0.07597595192178704,13.098013373958377,0.5
controlled_overlap_sweep,36.0,0.6898188522587542,0.9890886664283925,0.2992698141696384,0.9951340343707853,0.05852620357053649,17.00322203833771,0.5
controlled_overlap_sweep,38.0,0.6925094512906376,0.9921847067644797,0.2996752554738421,0.9951340343707853,0.04322727117869953,23.020977434752876,0.5
controlled_overlap_sweep,40.0,0.6947920447005471,0.9947108289668525,0.29991878426630536,0.9951340343707853,0.03015368960704587,33.00206533061404,0.5
controlled_overlap_sweep,42.0,0.6966636680095388,0.9966636723919874,0.30000000438244856,0.9951340343707853,0.019369152030840605,51.3772638464647,0.5
controlled_overlap_sweep,44.0,0.6981218940715234,0.9980406779402824,0.29991878386875903,0.9951340343707853,0.010926199633097204,91.07778255820674,0.5
controlled_overlap_sweep,46.0,0.6991648340243726,0.9988400887925615,0.2996752547681889,0.9951340343707853,0.00486596562921485,204.50905538585886,0.5
controlled_overlap_sweep,48.0,0.699791138082018,0.9990609514215496,0.2992698133395316,0.9951340343707853,0.01092619963309717,91.07778255820702,0.5
controlled_overlap_sweep,50.0,0.6999999961276111,0.9987031168448839,0.2987031207172728,0.9951340343707853,0.019369152030840574,51.37726384646478,0.5
controlled_overlap_sweep,52.0,0.6997911380801064,0.9977672421151511,0.2979761040350447,0.9951340343707853,0.03015368960704582,33.00206533061409,0.5
controlled_overlap_sweep,54.0,0.6991648340181391,0.9962547920710115,0.2970899580528724,0.9951340343707853,0.0432272711786995,23.020977434752893,0.5
controlled_overlap_sweep,56.0,0.6981218940558608,0.9941680414027133,0.29604614734685253,0.9951340343707853,0.05852620357053649,17.00322203833771,0.5
controlled_overlap_sweep,58.0,0.6966636679760794,0.9915100771163169,0.2948464091402375,0.9951340343707853,0.07597595192178704,13.098013373958377,0.5
controlled_overlap_sweep,60.0,0.6947920446370205,0.9882848015148702,0.2934927568778497,0.9951340343707853,0.09549150281252627,10.42117890137809,0.5
