p,scheme,eta
0.0,global_noQEC,0.3656800235218245
0.002,global_noQEC,0.36536971610635977
0.004,global_noQEC,0.3650594086908951
0.006,global_noQEC,0.36474910127543037
0.008,global_noQEC,0.36443879385996564
0.01,global_noQEC,0.36412848644450097
0.012,global_noQEC,0.3638181790290363
0.014,global_noQEC,0.3635078716135716
0.016,global_noQEC,0.36319756419810684
0.018000000000000002,global_noQEC,0.36288725678264216
0.02,global_noQEC,0.3625769493671775
0.022,global_noQEC,0.36226664195171276
0.024,global_noQEC,0.3619563345362481
0.026000000000000002,global_noQEC,0.3616460271207833
0.028,global_noQEC,0.36133571970531864
0.03,global_noQEC,0.3610254122898539
0.032,global_noQEC,0.3607151048743893
0.034,global_noQEC,0.36040479745892456
0.036000000000000004,global_noQEC,0.36009449004345984
0.038,global_noQEC,0.35978418262799516
0.04,global_noQEC,0.35947387521253044
0.042,global_noQEC,0.35916356779706576
0.044,global_noQEC,0.358853260381601
0.046,global_noQEC,0.3585429529661363
0.048,global_noQEC,0.35823264555067164
0.05,global_noQEC,0.3579223381352069
0.052000000000000005,global_noQEC,0.35761203071974224
0.054,global_noQEC,0.3573017233042775
0.056,global_noQEC,0.35699141588881284
0.058,global_noQEC,0.35668110847334816
0.06,global_noQEC,0.35637080105788344
0.062,global_noQEC,0.35606049364241876
0.064,global_noQEC,0.355750186226954
0.066,global_noQEC,0.3554398788114893
0.068,global_noQEC,0.3551295713960246
0.07,global_noQEC,0.3548192639805599
0.07200000000000001,global_noQEC,0.35450895656509523
0.074,global_noQEC,0.3541986491496305
0.076,global_noQEC,0.35388834173416583
0.078,global_noQEC,0.3535780343187011
0.08,global_noQEC,0.35326772690323643
0.082,global_noQEC,0.35295741948777176
0.084,global_noQEC,0.35264711207230703
0.08600000000000001,global_noQEC,0.35233680465684236
0.088,global_noQEC,0.35202649724137763
0.09,global_noQEC,0.35171618982591296
0.092,global_noQEC,0.3514058824104482
0.094,global_noQEC,0.3510955749949835
0.096,global_noQEC,0.3507852675795188
0.098,global_noQEC,0.3504749601640541
0.1,global_noQEC,0.35016465274858943
0.10200000000000001,global_noQEC,0.34985434533312476
0.10400000000000001,global_noQEC,0.34954403791766003
0.106,global_noQEC,0.3492337305021953
0.108,global_noQEC,0.34892342308673063
0.11,global_noQEC,0.3486131156712659
0.112,global_noQEC,0.34830280825580123
0.114,global_noQEC,0.3479925008403365
0.116,global_noQEC,0.3476821934248718
0.11800000000000001,global_noQEC,0.3473718860094071
0.12,global_noQEC,0.3470615785939424
0.122,global_noQEC,0.34675127117847765
0.124,global_noQEC,0.346440963763013
0.126,global_noQEC,0.3461306563475483
0.128,global_noQEC,0.34582034893208363
0.13,global_noQEC,0.3455100415166189
0.132,global_noQEC,0.3451997341011542
0.134,global_noQEC,0.34488942668568945
0.136,global_noQEC,0.3445791192702248
0.138,global_noQEC,0.34426881185476005
0.14,global_noQEC,0.3439585044392954
0.14200000000000002,global_noQEC,0.34364819702383065
0.14400000000000002,global_noQEC,0.343337889608366
0.146,global_noQEC,0.3430275821929013
0.148,global_noQEC,0.3427172747774366
0.15,global_noQEC,0.34240696736197185
0.152,global_noQEC,0.3420966599465071
0.154,global_noQEC,0.34178635253104245
0.156,global_noQEC,0.3414760451155778
0.158,global_noQEC,0.34116573770011305
0.16,global_noQEC,0.3408554302846483
0.162,global_noQEC,0.3405451228691836
0.164,global_noQEC,0.3402348154537189
0.166,global_noQEC,0.33992450803825425
0.168,global_noQEC,0.3396142006227896
0.17,global_noQEC,0.3393038932073249
0.17200000000000001,global_noQEC,0.3389935857918601
0.17400000000000002,global_noQEC,0.33868327837639545
0.176,global_noQEC,0.3383729709609308
0.178,global_noQEC,0.3380626635454661
0.18,global_noQEC,0.3377523561300013
0.182,global_noQEC,0.33744204871453665
0.184,global_noQEC,0.337131741299072
0.186,global_noQEC,0.33682143388360725
0.188,global_noQEC,0.3365111264681426
0.19,global_noQEC,0.3362008190526778
0.192,global_noQEC,0.3358905116372131
0.194,global_noQEC,0.3355802042217485
0.196,global_noQEC,0.3352698968062838
0.198,global_noQEC,0.3349595893908191
0.2,global_noQEC,0.3346492819753544
