M,source_type,grouping_strategy,baseline_type,result_type,eta_mean,eta_std,eta_min,eta_max,M_res_mean,M_res_std,M_res_min,M_res_max,r_res_pos,P_group_mean,P_base_mean,r_cert_pos
4,dirichlet,overlap_aware,equal_support,approximate,0.09989861574211088,8.831000899821935e-05,0.0998361711359016,0.09996106034832017,-4.001013842578891,0.0008831000899823898,-4.001638288640984,-4.000389396516798,0.0,1.0,1.0,
4,dirichlet,overlap_aware,pgm_fixed_global,approximate,0.10522956412128731,0.0029625822978962576,0.10313470208862165,0.10732442615395299,-3.6840806550070466,0.09892974848310643,-3.754034551020531,-3.614126758993563,0.0,0.9926626125686036,0.9920031466462638,
4,dirichlet,overlap_aware,random_support,approximate,0.104992451624324,0.003580263880400479,0.10246082275605556,0.10752408049259245,-3.6336624613682185,0.07347319881673128,-3.6856158584869965,-3.58170906424944,0.0,0.990341396159254,0.9808925827864875,
4,dirichlet,probability_aware,pgm_fixed_global,approximate,0.10522956412128731,0.0029625822978962576,0.10313470208862165,0.10732442615395299,-3.6840806550070466,0.09892974848310643,-3.754034551020531,-3.614126758993563,0.0,0.9926626125686036,0.9920031466462638,
4,dirichlet,random,pgm_fixed_global,approximate,0.10599113707101177,0.0025648353937340264,0.10417752457147517,0.10780474957054836,-3.676857515523435,0.09501325313153852,-3.74404203111534,-3.6096729999315302,0.0,0.9999997985595832,0.9920031466462638,
4,near_uniform,overlap_aware,equal_support,approximate,0.09961438031201406,,0.09961438031201406,0.09961438031201406,-4.00385619687986,,-4.00385619687986,-4.00385619687986,0.0,0.9999999999999999,1.0,
4,near_uniform,overlap_aware,pgm_fixed_global,approximate,0.09961438031201404,,0.09961438031201404,0.09961438031201404,-4.00385619687986,,-4.00385619687986,-4.00385619687986,0.0,0.9999999999999998,1.0,
4,near_uniform,overlap_aware,random_support,approximate,0.09630016628554515,,0.09630016628554515,0.09630016628554515,-3.671267877036354,,-3.671267877036354,-3.671267877036354,0.0,0.9665954155003971,0.9268539079783611,
4,near_uniform,probability_aware,pgm_fixed_global,approximate,0.09961438031201404,,0.09961438031201404,0.09961438031201404,-4.00385619687986,,-4.00385619687986,-4.00385619687986,0.0,0.9999999999999998,1.0,
4,near_uniform,random,pgm_fixed_global,approximate,0.09961438031201404,,0.09961438031201404,0.09961438031201404,-4.00385619687986,,-4.00385619687986,-4.00385619687986,0.0,0.9999999999999998,1.0,
4,strong_skew,overlap_aware,equal_support,approximate,0.099869057776128,,0.099869057776128,0.099869057776128,-4.0013094222387195,,-4.0013094222387195,-4.0013094222387195,0.0,1.0,1.0,
4,strong_skew,overlap_aware,pgm_fixed_global,approximate,0.10605563657641912,,0.10605563657641912,0.10605563657641912,-3.6817192850622456,,-3.6817192850622456,-3.6817192850622456,0.0,1.0,0.9940693513961472,
4,strong_skew,overlap_aware,random_support,approximate,0.10605563657641912,,0.10605563657641912,0.10605563657641912,-3.6708714589497675,,-3.6708714589497675,-3.6708714589497675,0.0,1.0,0.9917653883280102,
4,strong_skew,probability_aware,pgm_fixed_global,approximate,0.10605563657641912,,0.10605563657641912,0.10605563657641912,-3.6817192850622456,,-3.6817192850622456,-3.6817192850622456,0.0,1.0,0.9940693513961472,
4,strong_skew,random,pgm_fixed_global,approximate,0.10543085083873815,,0.10543085083873815,0.10543085083873815,-3.6876026840920746,,-3.6876026840920746,-3.6876026840920746,0.0,0.9940700118197797,0.9940693513961472,
4,zipf,overlap_aware,equal_support,approximate,0.09977562158276616,0.00013082016830314824,0.09964265906772443,0.09990418861667902,-4.002243784172339,0.0013082016830316366,-4.0035734093227555,-4.00095811383321,0.0,1.0,1.0,
