M,source_type,source_param,seed,n_max,dimension,Lbar,n_fix,support_overlap_shift,payload_mode,grouping_strategy,groups,P_group_lower,P_fix_upper,P_group_sdp,P_fix_sdp,M_cert,positive_certificate,solver_type,status,runtime_s,dual_feasibility_residual,primal_feasibility_residual
8,near_uniform,0.02,881,3,8,2.9999999999999996,3,1,optimized,overlap_aware,"2,5,6,7|0,1,3,4",0.9999961229737115,0.5058035946035568,0.9999988063735403,0.505799911203728,0.08139783254224231,True,exact_sdp,solved,0.11081695556640625,5.366799657473185e-07,1.3155200716377695e-08
8,near_uniform,0.02,993,3,8,3.0,3,0,deterministic_phase,random,"4,5,6,7|0,1,2,3",0.9999973171158597,1.0,0.9999988465131116,0.9999999987951899,-0.08333400405436839,False,exact_sdp,solved,0.06574392318725586,3.0587945036848077e-07,3.5685052219053513e-09
