case_class,G_comp,g_rel,r_sep,r_overlap,R_sup,Delta_P_group,r_cost,M_res
positive,2.522094489054288,0.5771043612958078,0.8339273905414466,2.533952553385841,0.37322546571572124,0.005873863900528161,0.35635910224438905,0.22539909157324503
nonpositive,0.5612678682824734,0.18154627397814418,0.788030336909785,6613788.457026814,0.21445234630456275,0.022524167797878678,0.5654012079378774,-0.3487391149161598
