dataset,M,source_type,source_param,seed,baseline_type,grouping_strategy,R_sup,A_Huff,A_sep,r_sep,epsilon_in,P_base,P_group,P_full,M_res,Delta_P_group,positive_margin
default_benchmark,4,zipf,0.2,1042,pgm_fixed_global,random,0.0,0.0,0.0,,0.0,0.9999999999999998,1.0,0.9964265906772444,-4.003573409322755,2.220446049250313e-16,False
default_benchmark,4,zipf,0.2,1042,pgm_fixed_global,probability_aware,0.0,0.0,0.0,,0.0,0.9999999999999998,1.0,0.9964265906772444,-4.003573409322755,2.220446049250313e-16,False
default_benchmark,4,zipf,0.2,1042,pgm_fixed_global,overlap_aware,0.0,0.0,0.0,,0.0,0.9999999999999998,1.0,0.9964265906772444,-4.003573409322755,2.220446049250313e-16,False
default_benchmark,4,zipf,0.2,1042,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.9964265906772444,-4.0035734093227555,0.0,False
default_benchmark,4,zipf,0.2,1042,random_support,overlap_aware,0.3333333333333333,0.0643830475733926,0.0495431724608364,,0.2499999999999999,0.8717132685496947,0.9673730649232172,0.9640559902066864,-3.3945103525417863,0.09565979637352251,False
default_benchmark,4,zipf,1.0,1050,pgm_fixed_global,random,0.2857142857142857,0.0069400266389443,0.0021400266389443,,0.1249999999999999,0.984229398511075,0.9874772708486752,0.9853758267278668,-3.8373482259764016,0.003247872337600155,False
default_benchmark,4,zipf,1.0,1050,pgm_fixed_global,probability_aware,0.2857142857142857,0.0069400266389443,0.0021400266389443,,0.1249999999999999,0.984229398511075,0.9874772708486752,0.985375826727867,-3.8373482259764016,0.003247872337600155,False
default_benchmark,4,zipf,1.0,1050,pgm_fixed_global,overlap_aware,0.2857142857142857,0.0069400266389443,0.0021400266389443,,0.1249999999999999,0.984229398511075,0.9874772708486752,0.985375826727867,-3.8373482259764016,0.003247872337600155,False
default_benchmark,4,zipf,1.0,1050,equal_support,overlap_aware,0.0,0.0,0.0,,0.0,1.0,1.0,0.9978001706389504,-4.002199829361048,0.0,False
default_benchmark,4,zipf,1.0,1050,random_support,overlap_aware,0.3571428571428571,0.0120000052099097,0.0036000052099097,,0.1249999999999999,0.9686382939929382,0.9758772594677448,0.973866951224166,-3.772460689341232,0.0072389654748066246,False
default_benchmark,4,zipf,2.0,1060,pgm_fixed_global,random,0.2857142857142857,0.0030685719323097,0.0013553060191628,,0.1249999999999999,0.990964997439886,0.9927508789304124,0.9918497180592406,-3.675353721102759,0.0017858814905263865,False
default_benchmark,4,zipf,2.0,1060,pgm_fixed_global,probability_aware,0.2857142857142857,0.0030685719323097,0.0013553060191628,,0.1249999999999999,0.990964997439886,0.9927508789304124,0.9918497180592408,-3.675353721102759,0.0017858814905263865,False
default_benchmark,4,zipf,2.0,1060,pgm_fixed_global,overlap_aware,0.2857142857142857,0.0030685719323097,0.0013553060191628,,0.1249999999999999,0.990964997439886,0.9927508789304124,0.9918497180592408,-3.675353721102759,0.0017858814905263865,False
