level,model,p,p_eff,depth,n,k,d,q_L,P_group,P_fallback,P_full,C_QEC,eta,proxy_label
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.09558974358974359,0.633853583589558,10,7,1,3,0.9884268308588138,0.82,0.45,0.4542820725822389,7.0,0.04635531352879989,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.09558974358974359,0.9509132403881634,30,7,1,3,0.9999999061971534,0.82,0.45,0.45000003470705324,7.0,0.045918370888474815,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.09558974358974359,0.9975904900308098,60,7,1,3,0.9999999999999987,0.82,0.45,0.4500000000000005,7.0,0.045918367346938826,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.09864102564102564,0.09864102564102564,0,3,1,3,0.027270591212832315,0.82,0.45,0.809909881251252,3.0,0.13963963469849172,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.09864102564102564,0.09864102564102564,0,5,1,3,0.07948762707260837,0.82,0.45,0.7905895779831349,5.0,0.10135763820296602,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.09864102564102564,0.09864102564102564,0,7,1,3,0.14633433287341457,0.82,0.45,0.7658562968368365,7.0,0.07814860171804454,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.09864102564102564,0.09864102564102564,0,11,1,5,0.08668806983739175,0.82,0.45,0.787925414160165,11.0,0.05709604450435978,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.09864102564102564,0.6460206957349531,10,7,1,3,0.9904072752155948,0.82,0.45,0.4535493081702299,7.0,0.04628054165002346,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.09864102564102564,0.9556459160653041,30,7,1,3,0.9999999487295929,0.82,0.45,0.45000001897005065,7.0,0.045918369282658224,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.09864102564102564,0.9980327152383139,60,7,1,3,0.9999999999999996,0.82,0.45,0.4500000000000002,7.0,0.04591836734693879,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.10169230769230769,0.10169230769230769,0,3,1,3,0.02892070983340919,0.82,0.45,0.8092993373616386,3.0,0.13953436851062734,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.10169230769230769,0.10169230769230769,0,5,1,3,0.08394123351066662,0.82,0.45,0.7889417436010533,5.0,0.10114637738475042,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.10169230769230769,0.10169230769230769,0,7,1,3,0.15390703233180458,0.82,0.45,0.7630543980372323,7.0,0.0778626936772686,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.10169230769230769,0.10169230769230769,0,11,1,5,0.09320159409937445,0.82,0.45,0.7855154101832313,11.0,0.05692140653501676,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.10169230769230769,0.6578227071177123,10,7,1,3,0.9920595808220288,0.82,0.45,0.45293795509584933,7.0,0.04621815868324993,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.10169230769230769,0.9599360690903574,30,7,1,3,0.999999972046036,0.82,0.45,0.45000001034296666,7.0,0.045918368402343535,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.10169230769230769,0.9983948814400674,60,7,1,3,0.9999999999999999,0.82,0.45,0.45000000000000007,7.0,0.04591836734693878,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.10474358974358974,0.10474358974358974,0,3,1,3,0.030615328929179522,0.82,0.45,0.8086723282962035,3.0,0.13942626349934545,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.10474358974358974,0.10474358974358974,0,5,1,3,0.08848398137157276,0.82,0.45,0.787260926892518,5.0,0.10093088806314333,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.10474358974358974,0.10474358974358974,0,7,1,3,0.16157901113886364,0.82,0.45,0.7602157658786205,7.0,0.0775730373345531,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.10474358974358974,0.10474358974358974,0,11,1,5,0.09993257528458033,0.82,0.45,0.7830249471447053,11.0,0.056740938198891686,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.10474358974358974,0.6692693887671383,10,7,1,3,0.9934359683119176,0.82,0.45,0.4524286917245905,7.0,0.04616619303312147,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.10474358974358974,0.9638237804653832,30,7,1,3,0.999999984796022,0.82,0.45,0.4500000056254719,7.0,0.04591836792096651,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.10474358974358974,0.9986912811401832,60,7,1,3,1.0,0.82,0.45,0.45,7.0,0.04591836734693877,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.1077948717948718,0.1077948717948718,0,3,1,3,0.03235410759911664,0.82,0.45,0.8080289801883268,3.0,0.13931534141178048,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.1077948717948718,0.1077948717948718,0,5,1,3,0.09311344460351667,0.82,0.45,0.7855480254966988,5.0,0.10071128532008959,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.1077948717948718,0.1077948717948718,0,7,1,3,0.16934432852852643,0.82,0.45,0.7573425984444452,7.0,0.07727985698412705,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.1077948717948718,0.1077948717948718,0,11,1,5,0.10687547979736489,0.82,0.45,0.780456072474975,11.0,0.056554787860505426,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.1077948717948718,0.6803702821316537,10,7,1,3,0.9945807833417618,0.82,0.45,0.4520051101635481,7.0,0.04612297042485185,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.1077948717948718,0.9673456190971103,30,7,1,3,0.9999999917506879,0.82,0.45,0.4500000030522455,7.0,0.0459183676583924,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.1077948717948718,0.998933691407849,60,7,1,3,1.0,0.82,0.45,0.45,7.0,0.04591836734693877,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.11084615384615384,0.11084615384615384,0,3,1,3,0.0341367049421939,0.82,0.45,0.8073694191713883,3.0,0.13920162399506694,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.11084615384615384,0.11084615384615384,0,5,1,3,0.09782722400213362,0.82,0.45,0.7838039271192105,5.0,0.10048768296400136,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.11084615384615384,0.11084615384615384,0,7,1,3,0.17719718213694602,0.82,0.45,0.75443704260933,7.0,0.07698337169482958,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.11084615384615384,0.11084615384615384,0,11,1,5,0.11402451105772093,0.82,0.45,0.7778109309086432,11.0,0.056363110935408925,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.11084615384615384,0.6911347037180635,10,7,1,3,0.9955315935333804,0.82,0.45,0.4516533103926493,7.0,0.04608707248904584,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.11084615384615384,0.9705349391190575,30,7,1,3,0.9999999955348837,0.82,0.45,0.45000000165209303,7.0,0.04591836751551969,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.11084615384615384,0.9991318101872824,60,7,1,3,1.0,0.82,0.45,0.45,7.0,0.04591836734693877,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.1138974358974359,0.1138974358974359,0,3,1,3,0.03596278005738465,0.82,0.45,0.8066937713787676,3.0,0.13908513299633926,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.1138974358974359,0.1138974358974359,0,5,1,3,0.1026229470835498,0.82,0.45,0.7820295095790865,5.0,0.10026019353578032,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.1138974358974359,0.1138974358974359,0,7,1,3,0.1851319059995462,0.82,0.45,0.7515011947801679,7.0,0.0766837953857314,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.1138974358974359,0.1138974358974359,0,11,1,5,0.12137363460376327,0.82,0.45,0.7750917551966076,11.0,0.056166069217145474,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.1138974358974359,0.7015717496524296,10,7,1,3,0.9963201523015696,0.82,0.45,0.45136154364841924,7.0,0.046057300372287675,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.1138974358974359,0.9734221529317286,30,7,1,3,0.9999999975889361,0.82,0.45,0.45000000089209363,7.0,0.04591836743796873,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.1138974358974359,0.9992936180452155,60,7,1,3,1.0,0.82,0.45,0.45,7.0,0.04591836734693877,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.11694871794871795,0.11694871794871795,0,3,1,3,0.03783199204366223,0.82,0.45,0.806002162943845,3.0,0.1389658901627319,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.11694871794871795,0.11694871794871795,0,5,1,3,0.1074982679574259,0.82,0.45,0.7802256408557523,5.0,0.10002892831484005,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.11694871794871795,0.11694871794871795,0,7,1,3,0.19314296856578062,0.82,0.45,0.7485371016306611,7.0,0.07638133690108787,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.11694871794871795,0.11694871794871795,0,11,1,5,0.1289166021125947,0.82,0.45,0.77230085721834,11.0,0.05596383023321304,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.11694871794871795,0.7116903001636228,10,7,1,3,0.9969732411255682,0.82,0.45,0.45111990078353975,7.0,0.04603264293709589,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.11694871794871795,0.9760349818709239,30,7,1,3,0.9999999987011748,0.82,0.45,0.4500000004805653,7.0,0.04591836739597605,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.11694871794871795,0.9994256779060731,60,7,1,3,1.0,0.82,0.45,0.45,7.0,0.04591836734693877,toy/proxy
Level 2 code-family proxy,rep3_toy_proxy,0.12,0.12,0,3,1,3,0.039744,0.82,0.45,0.80529472,3.0,0.13884391724137932,toy/proxy
Level 2 code-family proxy,stab_5_1_3_proxy,0.12,0.12,0,5,1,3,0.11245086719999997,0.82,0.45,0.7783931791359999,5.0,0.0997939973251282,toy/proxy
Level 2 code-family proxy,stab_7_1_3_proxy,0.12,0.12,0,7,1,3,0.2012249707315199,0.82,0.45,0.7455467608293376,7.0,0.07607620008462627,toy/proxy
Level 2 code-family proxy,stab_11_1_5_proxy,0.12,0.12,0,11,1,5,0.13664697437085338,0.82,0.45,0.7694406194827842,11.0,0.05575656662918726,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.12,0.7214990239905978,10,7,1,3,0.9975134020458171,0.82,0.45,0.4509200412430477,7.0,0.04601224910643344,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.12,0.9783986862697484,30,7,1,3,0.9999999993019886,0.82,0.45,0.45000000025826425,7.0,0.04591836737329227,toy/proxy
Level 3 depth-sensitive proxy,stab_7_1_3_depth_proxy,0.12,0.9995333832451272,60,7,1,3,1.0,0.82,0.45,0.45,7.0,0.04591836734693877,toy/proxy
